"annotation_id","annotator","correct_answer","created_at","explanation","id","id_source","image_reference","image_target","label","lead_time","options","question","updated_at"
117,"1","Phrenic nerve palsy","2026-01-23T00:19:10.370377Z","Image 2 shows the right hilar mass has enlarged. The right hemidiaphragm is raised indicating phrenic nerve palsy due to compression or erosion by the mass.
There is no visible pleural effusion or pneumothorax.",865,"Chest_X_Ray_Quiz_2_Q04","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_annotation/Chest_X_Ray_Quiz_2__Q04_MERGED_ro.jpg","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_clean/Chest_X_Ray_Quiz_2__Q04_MERGED_base.jpg","[{""x"":50,""y"":60,""width"":26,""height"":16,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":956,""original_height"":472}]",528.991,"Lung metastases | Phrenic nerve palsy | Right lower zone pneumonia | Right pleural effusion | Left pneumothorax","2 Images: Patient with lung cancer. Image 1 shows a right hilar mass. What complication has occurred at the time of image 2 which was acquired 4 months after image 1?","2026-01-23T00:19:10.370397Z"
118,"1","The previous image is irrelevant to interpretation of this image","2026-01-23T00:19:18.354667Z","The previous image (image 2) shows the heart was enlarged. The previous image is relevant to chest X-ray interpretation and should be viewed as a matter of routine whenever interpreting a chest X-ray.
Image 1 shows classic features of severe pulmonary oedema; the upper zone vessels are enlarged indicating pulmonary venous hypertension, bilateral shadowing indicates alveolar oedema, and bilateral costophrenic blunting indicates pleural effusions.
The combination of severe pulmonary oedema in a patient with previously documented cardiomegaly is consistent with the diagnosis of heart failure.",866,"Chest_X_Ray_Quiz_2_Q08","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_annotation/Chest_X_Ray_Quiz_2__Q08_MERGED_ro.jpg","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_clean/Chest_X_Ray_Quiz_2__Q08_MERGED_base.jpg","[{""x"":2,""y"":6,""width"":50,""height"":85,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":1047,""original_height"":552},{""x"":63,""y"":5,""width"":29,""height"":7,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":1047,""original_height"":552},{""x"":58,""y"":12,""width"":41,""height"":82,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":1047,""original_height"":552}]",451.227,"The costophrenic angles are blunt | The upper zone vessels are enlarged | The previous image is irrelevant to interpretation of this image | The image is of adequate quality | The diagnosis is consistent with heart failure","2 IMAGES: Rapid onset shortness of breath and chest pain. A previous chest X-ray is shown for reference (image 2). Regarding image 1, which statement is FALSE?","2026-01-23T00:19:18.354690Z"
119,"1","Chest X-rays are not required routinely in the setting of clinically suspected uncomplicated rib fractures","2026-01-23T00:19:25.721694Z","Chest X-rays are not required routinely in the setting of uncomplicated clinically suspected rib fractures but can be requested if there is clinical suspicion of a complication such as a pneumothorax or haemothorax.
The detail image shows a rib fracture on the left.
The costophrenic angles are well-defined indicating there is no haemothorax.
Although the patient is a little rotated, a cause of chest pain – the rib fracture – is demonstrated so the image can be considered diagnostic.",867,"Chest_X_Ray_Quiz_3_Q06","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_annotation/Chest_X_Ray_Quiz_3__Q06_MERGED_ro.jpg","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_clean/Chest_X_Ray_Quiz_3__Q06_MERGED_base.jpg","[{""x"":58,""y"":25,""width"":6,""height"":14,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":963,""original_height"":543},{""x"":81,""y"":69,""width"":5,""height"":30,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":963,""original_height"":543},{""x"":78,""y"":58,""width"":2,""height"":6,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":963,""original_height"":543},{""x"":74,""y"":38,""width"":6,""height"":20,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":963,""original_height"":543},{""x"":70,""y"":34,""width"":4,""height"":15,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":963,""original_height"":543},{""x"":64,""y"":29,""width"":6,""height"":15,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":963,""original_height"":543},{""x"":80,""y"":48,""width"":5,""height"":21,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":963,""original_height"":543}]",657.118,"Chest X-rays are not required routinely in the setting of clinically suspected uncomplicated rib fractures | There is no cause of chest pain demonstrated on these images | A normal chest X-ray excludes rib fractures | This image shows blunting of the left costophrenic angle indicating a haemothorax | The patient is rotated and so the image is non-diagnostic","2 IMAGES: Image 1 - full-sized image. Image 2 - detail image. Patient with chest pain. Which statement is true?","2026-01-23T00:19:25.721721Z"
120,"1","The azygo-oesophageal line","2026-01-23T00:19:47.508988Z","This is the azygo-oesophageal line. This line is formed by the contrast of the low-density lung at its interface with the relatively higher density soft tissues of the mediastinum formed by the vertically-orientated oesophagus and azygos vein.",868,"Chest_X_Ray_Quiz_4_Q06","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_annotation/Chest_X_Ray_Quiz_4__Q06_MERGED_ro.jpg","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_clean/Chest_X_Ray_Quiz_4__Q06_MERGED_base.jpg","[{""x"":70,""y"":2,""width"":9,""height"":80,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":426}]",178.921,"The anterior junctional line | The right heart border | The right paratracheal stripe | The azygo-oesophageal line | The descending thoracic aorta","(2 Images: One with and one without marking.) What does the anatomical line marked on image 2 represent?","2026-01-23T00:19:47.509015Z"
121,"1","Areas of abnormally low density surrounded by enhancement post IV-contrast","2026-01-23T00:20:01.131684Z","A very large irregularly-shaped area of abnormally low density is present in the left cerebral hemisphere. This is causing mass effect evidenced by the effacement of the sulci on this side of the brain and shift of midline structures.
The post-contrast image shows enhancement of brain tissue surrounding the low density area.
This mass lesion appears intra-axial (intracerebral) rather than extra-axial (outside the brain).
Although it is possible that a metastasis has this appearance, there is only one lesion and so it is not ‘multiple’.
The appearances are not consistent with an acute primary intracerebral haemorrhage which would be of high density (white) on the pre-contrast image.",869,"CT_Brain_Quiz_1_Q04","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_annotation/CT_Brain_Quiz_1__Q04_MERGED_ro.jpg","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_clean/CT_Brain_Quiz_1__Q04_MERGED_base.jpg","[{""x"":77,""y"":33,""width"":17,""height"":43,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":903,""original_height"":530},{""x"":26,""y"":34,""width"":17,""height"":41,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":903,""original_height"":530}]",202.606,"Increased density consistent with a subdural collection | Multiple areas of enhancement due to metastases | Areas of abnormally low density with the typical distribution of a territorial infarct | Areas of abnormally low density surrounded by enhancement post IV-contrast | Increased density consistent with an acute primary intracerebral haemorrhage","(Pre and post contrast images): Which description most accurately describes the findings on these two images?","2026-01-24T18:38:41.580397Z"
122,"1","Abnormal low density of white matter representing cerebral oedema","2026-01-23T00:20:06.114945Z","A small rounded focus of slightly high density on the pre-contrast image enhances on the post-contrast image. The post-contrast image also shows multiple other foci of enhancement. These are typical appearances of brain metastases.
Both the pre and post-IV contrast images show a large area of abnormally low density within white matter due to cerebral oedema.
Acute bleeding results in areas of high density on the pre-contrast image which would not enhance post contrast.
There is no intracerebral calcification visible on these CT images.",870,"CT_Brain_Quiz_1_Q06","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_annotation/CT_Brain_Quiz_1__Q06_MERGED_ro.jpg","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_clean/CT_Brain_Quiz_1__Q06_MERGED_base.jpg","[{""x"":4,""y"":40,""width"":3,""height"":36,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":521},{""x"":15,""y"":4,""width"":18,""height"":92,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":521},{""x"":43,""y"":43,""width"":2,""height"":31,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":521},{""x"":41,""y"":29,""width"":2,""height"":51,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":521},{""x"":37,""y"":14,""width"":4,""height"":75,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":521},{""x"":7,""y"":15,""width"":4,""height"":70,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":521},{""x"":65,""y"":6,""width"":4,""height"":88,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":521},{""x"":56,""y"":20,""width"":3,""height"":62,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":521},{""x"":69,""y"":4,""width"":18,""height"":94,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":521},{""x"":54,""y"":43,""width"":2,""height"":27,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":521},{""x"":93,""y"":44,""width"":2,""height"":30,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":521},{""x"":91,""y"":29,""width"":2,""height"":51,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":521},{""x"":87,""y"":14,""width"":4,""height"":75,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":521},{""x"":59,""y"":9,""width"":6,""height"":82,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":521},{""x"":33,""y"":8,""width"":4,""height"":86,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":521},{""x"":11,""y"":9,""width"":4,""height"":82,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":521}]",1807.0799999999997,"Abnormal low density of white matter representing cerebral oedema | Areas of high density representing recent subarachnoid bleeding | Areas of high density representing recent subdural bleeding | Areas of high density representing recent intracerebral bleeding | Areas of normal intracerebral calcification","(Pre and post contrast CT images of the brain show cerebral metastasis): What else is present?","2026-01-24T18:42:31.830420Z"
123,"1","Sphenoid sinus","2026-01-23T00:20:10.909922Z","The sinuses of the skull contain air and so are completely black on CT; they have the same density as the air surrounding the head.
The sphenoid sinus is highlighted in orange (roll-over image). It has very variable appearance and can be split into two or more compartments.
The pituitary fossa (not visible) contains the pituitary gland which is of similar density to the brain.
Some of the other sinuses and air cells of the skull are highlighted.",871,"CT_Brain_Quiz_1_Q08","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_annotation/CT_Brain_Quiz_1__Q08_MERGED_ro.jpg","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_clean/CT_Brain_Quiz_1__Q08_MERGED_base.jpg","[{""x"":60,""y"":6,""width"":30,""height"":40,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":499},{""x"":57,""y"":46,""width"":37,""height"":36,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":499}]",309.76800000000003,"Sphenoid sinus | Ethmoid air cell | Mastoid air cell | Pituitary fossa | Frontal sinus","CT brain on bone window settings - 2 images: Which anatomical structure is highlighted in orange on image 2?","2026-01-24T18:44:53.809174Z"
124,"1","Mass with central enhancement","2026-01-23T00:30:53.104617Z","A large mass in the left cerebral hemisphere is causing mass effect with effacement of the sulci and left lateral ventricle (asterisk).
Low density surrounding the mass indicates vasogenic oedema of white matter.
The mass enhances peripherally but not centrally. The central portion of the mass is avascular due to cell necrosis.
Note:Abscess is a differential diagnosis",872,"CT_Brain_Quiz_2_Q08","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_annotation/CT_Brain_Quiz_2__Q08_MERGED_ro.jpg","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_clean/CT_Brain_Quiz_2__Q08_MERGED_base.jpg","[{""x"":33,""y"":10,""width"":7,""height"":77,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":530},{""x"":40,""y"":21,""width"":6,""height"":55,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":530},{""x"":9,""y"":60,""width"":7,""height"":21,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":530},{""x"":4,""y"":28,""width"":12,""height"":32,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":530},{""x"":6,""y"":60,""width"":3,""height"":9,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":530},{""x"":16,""y"":5,""width"":17,""height"":83,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":530},{""x"":11,""y"":7,""width"":5,""height"":21,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":530},{""x"":6,""y"":14,""width"":5,""height"":14,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":530},{""x"":83,""y"":10,""width"":7,""height"":77,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":530},{""x"":90,""y"":21,""width"":6,""height"":55,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":530},{""x"":59,""y"":60,""width"":7,""height"":21,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":530},{""x"":54,""y"":28,""width"":12,""height"":32,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":530},{""x"":56,""y"":60,""width"":3,""height"":9,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":530},{""x"":66,""y"":5,""width"":17,""height"":84,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":530},{""x"":61,""y"":7,""width"":5,""height"":21,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":530},{""x"":56,""y"":14,""width"":5,""height"":14,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":530}]",674.938,"Ventricular effacement | Sulcal effacement | Mass with central enhancement | Mass with peripheral enhancement | White matter oedema","2 CT brain images, pre and post-contrast: Patient with worsening headache. Which finding is NOT present?","2026-01-24T18:45:13.884344Z"
125,"1","Movement artifact","2026-01-23T00:38:42.003266Z","This elderly patient presented with confusion and he could not co-operate with instructions to keep still in the CT scanner.
The images have been acquired while the patient is shaking his head. Image quality is non-diagnostic.
A repeat scan later showed no acute abnormality. The confusion was due to a urinary infection, a much more common cause of confusion in elderly patients than intracranial pathology.",873,"CT_Brain_Quiz_2_Q09","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_annotation/CT_Brain_Quiz_2__Q09_MERGED_ro.jpg","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_clean/CT_Brain_Quiz_2__Q09_MERGED_base.jpg","[{""x"":33,""y"":10,""width"":7,""height"":77,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":532},{""x"":40,""y"":21,""width"":6,""height"":55,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":532},{""x"":6,""y"":60,""width"":10,""height"":27,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":532},{""x"":4,""y"":28,""width"":12,""height"":32,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":532},{""x"":16,""y"":8,""width"":17,""height"":83,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":532},{""x"":10,""y"":19,""width"":6,""height"":9,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":532},{""x"":83,""y"":10,""width"":7,""height"":77,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":532},{""x"":90,""y"":18,""width"":7,""height"":63,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":532},{""x"":52,""y"":28,""width"":14,""height"":61,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":532},{""x"":66,""y"":8,""width"":17,""height"":85,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":532},{""x"":56,""y"":19,""width"":10,""height"":9,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":532}]",458.94199999999995,"Abnormal brain not compatible with life | Severe skull fracturing | Multiple areas of extra-axial haemorrhage | Movement artifact | Calcification of scalp soft tissues","2 CT brain images, brain and bone window settings:  What do these images show?","2026-01-24T18:45:42.899170Z"
126,"1","Posterior fossa meningioma","2026-01-23T00:43:17.123405Z","These are typical appearances of a meningioma.
This enhancing mass arises from the dura mater; in this case from the tentorium cerebelli, a sheet of dura mater which separates the posterior fossa structures from the rest of the brain.
The mass compresses the adjacent cerebellum.",874,"CT_Brain_Quiz_2_Q10","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_annotation/CT_Brain_Quiz_2__Q10_MERGED_ro.jpg","https://raw.githubusercontent.com/serafb/RadiologyMC-dataset/main/images-2rx_clean/CT_Brain_Quiz_2__Q10_MERGED_base.jpg","[{""x"":54,""y"":50,""width"":40,""height"":30,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":565},{""x"":5,""y"":50,""width"":37,""height"":30,""rotation"":0,""rectanglelabels"":[""ROI""],""original_width"":900,""original_height"":565}]",287.117,"Subdural collection | Subarachnoid haemorrhage | Intraventricular haemorrhage | Extradural haematoma | Posterior fossa meningioma","2 CT brain images, pre and post-contrast: Patient with worsening postural headache and cerebellar signs. What is the most likely diagnosis?","2026-01-23T00:43:17.123436Z"
